,index,Unnamed: 0,open,high,low,close,adjcp,volume
0,0,2506,0.117605669628612,0.1178730359669305,0.1183559437991459,0.126731587315963,0.0929429056743549,0.0641035659674407
1,1,2524,0.1280671149432148,0.1195371034223177,0.1265704086661771,0.1286449501324217,0.0943461618411178,0.0866633155640411
2,2,2538,0.1233119125274863,0.1164466924337414,0.1246375934033462,0.1218883876868021,0.0893909911601983,0.0489232822782991
3,3,2581,0.1223608720443406,0.1140694532117597,0.1176311380755843,0.1152514104172111,0.0845235543387901,0.0498261791516359
4,4,2604,0.1090463052803007,0.1031341527906436,0.1123158961027993,0.1102288330240071,0.0808400176124805,0.0580958696956128
5,5,2638,0.1102351058842328,0.1007569135686618,0.0992693930786909,0.0999445078855418,0.0732977049516236,0.1087848169706594
6,6,2671,0.0988226200864844,0.0998060178798691,0.0963701701844446,0.0937260787320512,0.0687371866783024,0.0736299199959448
7,7,2677,0.096920539120193,0.0986173982688783,0.0980613835394216,0.1092721516157778,0.0801384895025675,0.0824878135322592
8,8,2712,0.1099973457634464,0.1078886312346071,0.1050678388671835,0.1028145521102298,0.075402574919844,0.0646030633020469
9,9,2744,0.1023890218982808,0.0979042265022838,0.1021686159729372,0.1068804480952045,0.0783844121531518,0.0324103016837178
10,10,2768,0.1107106261258057,0.1133562814451651,0.1149735170891918,0.1236223727392177,0.0906626822425044,0.0533490609872516
11,11,2786,0.1214098315611949,0.1188239316557231,0.1234295838640769,0.124579054147447,0.0913643246078099,0.0783154795596819
12,12,2833,0.1245007131314184,0.1197748273445159,0.1219799724169538,0.1291232908365364,0.0946969830237706,0.062749748667303
13,13,2846,0.1323467971173705,0.132136471298821,0.1369592907038931,0.137494253158543,0.1008360966455608,0.1046716201032363
14,14,2870,0.1344866382044483,0.1333250909098118,0.1379256983353085,0.1377334235106003,0.1010114929549631,0.0652725798139714
15,15,2891,0.1373397596538854,0.1359400540539918,0.1374424945196008,0.1394076159750016,0.1022393242484756,0.0646822647821641
16,16,2937,0.1397173608617497,0.132136471298821,0.1386505040588701,0.1413209787914603,0.1036425804152385,0.0395046422627545
17,17,2945,0.140430641224109,0.1309478516878301,0.1340600678096468,0.132471675765339,0.0971526741746436,0.0535433686184726
18,18,2986,0.1323467971173705,0.132136471298821,0.1176311380755843,0.1207523285145297,0.0885578265562082,0.1046367714519847
19,19,3023,0.1218853518027677,0.1147826249783542,0.1137655075499225,0.1145338993610391,0.0839973939744313,0.0997600723162313
20,20,3033,0.1128504672128835,0.1221520665664976,0.1171479342598766,0.132471675765339,0.0971526741746436,0.0704724209886033
21,21,3056,0.1332978376005162,0.1235784100996867,0.1277784182054464,0.1272099280200777,0.0932937268570076,0.0479591362603383
22,22,3094,0.1291964755169503,0.1254802014772721,0.1306776410996927,0.135341719990027,0.0992574441693955,0.0587674982470071
23,23,3119,0.1380530400162447,0.1345137105208027,0.1350264754410622,0.1413209787914603,0.1036425804152385,0.089611722663873
24,24,3136,0.138766320378604,0.1395059128869644,0.1410665231374087,0.1504094521696389,0.1103078829652357,0.068204090598045
25,25,3174,0.148276725210061,0.1395059128869644,0.1507305994515631,0.1489744300572949,0.1092554908268977,0.0882758576992285
26,26,3191,0.1454236037606239,0.1411699803423516,0.1490393860965861,0.1501702818175816,0.1101325580654536,0.0557219373315647
27,27,3227,0.1456613638814103,0.1378418454315772,0.1379256983353085,0.1362984013982563,0.0999591293804732,0.0610495568941191
28,28,3257,0.1347243983252347,0.1326119191432173,0.1364760868881854,0.136059231046199,0.0997836902252987,0.0379142765419999
29,29,3271,0.1380530400162447,0.1383172932759735,0.1398585135981394,0.1487352597052376,0.1090801087994194,0.0582616647939916
30,30,3303,0.1470879246061289,0.1385550171981717,0.138892105966724,0.138929275270887,0.1018885316296709,0.0576755738411238
31,31,3342,0.1373397596538854,0.137604121509379,0.1413081250452626,0.1456260451284923,0.1067998282398727,0.0480710743522374
32,32,3373,0.1416194418280411,0.1368909497427845,0.1429993384002396,0.1422776601996896,0.10434420849862,0.0464870447498922
33,33,3400,0.1390040804993904,0.1397436368091626,0.1391337078745778,0.1499311114655243,0.1099571189102791,0.0689454164519425
34,34,3411,0.1463746442437696,0.1368909497427845,0.1458985612944859,0.1432343416079189,0.1050457651723811,0.0315211330669347
35,35,3454,0.1451858436398375,0.1540070721410531,0.1480729784651707,0.1635638215327922,0.1199551084400851,0.1363638283672243
36,36,3476,0.1580248901623045,0.1516298329190713,0.1524218128065402,0.1614112883642762,0.118376498809692,0.10320164063226
37,37,3499,0.1618290520948873,0.160663341962602,0.1642603062913793,0.1640421622369068,0.1203059296227378,0.0985572658381838
38,38,3534,0.1646821735443244,0.1604256180404038,0.1625690929364023,0.1609329476601615,0.118025620499343,0.0778888475867836
39,39,3549,0.1570738496791588,0.1561465874408366,0.1618442872128407,0.1611721180122189,0.1182011310641378,0.0628057177132525
40,40,3587,0.1656332140274701,0.1561465874408366,0.157978656687179,0.1618896290683908,0.1187273199923448,0.0569532563424544
41,41,3609,0.1592136907662366,0.1523430046856659,0.1473481727416091,0.1468218968887789,0.1076768811965046,0.0843411281670031
42,42,3632,0.1473256847269153,0.1449735630975224,0.1504889975437093,0.1518444742819829,0.1113603750770421,0.0642292323158934
43,43,3667,0.1525564073842167,0.1528184525300622,0.1570122490557635,0.1580629034354735,0.115920821940743,0.0613336262028064
44,44,3682,0.154934008592081,0.160663341962602,0.1591866662264482,0.1675699249297525,0.1228931144484474,0.0618943726820366
