,index,open,high,low,close,adjcp,pct_return,adjcp_filtered,pct_return_filtered
25555,25555,80.76000213623047,81.2300033569336,80.38999938964844,80.44000244140625,66.22093963623047,0.0027427313172296,66.03187351242936,-0.0007033375166146
25556,25556,80.33000183105469,80.44999694824219,79.95999908447266,80.0199966430664,65.87517547607422,-0.0052213720019018,65.98681644631398,-0.0015369762177449
25557,25557,79.94999694824219,80.12000274658203,79.41999816894531,79.88999938964844,65.7681655883789,-0.0016244341957643,65.97720006626214,-0.002213320683736
25558,25558,79.9800033569336,80.05999755859375,79.25,80.0,65.85871887207031,0.0013768558523914,65.96208711271576,-0.0026761312238157
25559,25559,80.13999938964844,80.47000122070312,79.86000061035156,80.19000244140625,66.0151138305664,0.002374703929481,65.86473027267265,-0.0028674558979088
25560,25560,80.44999694824219,80.47000122070312,79.58000183105469,80.2699966430664,66.08100128173828,0.0009980661601369,65.63240442208642,-0.0027406353670901
25561,25561,80.08999633789062,80.0999984741211,77.88999938964844,78.98999786376953,65.02725219726562,-0.0159463244205391,65.2919297666245,-0.0022785173784117
25562,25562,78.41999816894531,79.37000274658203,78.25,78.73999786376953,64.82144165039062,-0.0031649891379487,64.95149157519054,-0.0015120295309613
25563,25563,78.63999938964844,78.9800033569336,78.37000274658203,78.66999816894531,64.76380157470703,-0.0008892131093669,64.74238490030709,-0.0005313315421863
25564,25564,79.16999816894531,79.2699966430664,78.5199966430664,78.5999984741211,64.70619201660156,-0.0008895332995394,64.74295766451895,0.0005171551935427
25565,25565,78.69000244140625,79.7300033569336,78.69000244140625,79.02999877929688,65.06018829345703,0.0054708253696129,64.93546136327636,0.0014495537140249
25566,25566,79.5199966430664,79.97000122070312,78.61000061035156,78.63999938964844,64.7391357421875,-0.0049347006163186,65.21881492352458,0.0020752540343485
25567,25567,78.63999938964844,80.5,78.5,80.2300033569336,66.04804229736328,0.0202181654137039,65.46766004927932,0.002232175380775
25568,25568,79.94999694824219,79.94999694824219,79.37000274658203,79.66000366210938,65.57881164550781,-0.0071043839534695,65.603462308154,0.0018184068311594
25569,25569,79.62000274658203,80.33000183105469,78.73999786376953,80.05000305175781,65.8998794555664,0.0048959077177876,65.63018591988285,0.0008136084845223
25570,25570,79.55999755859375,79.56999969482422,78.5999984741211,78.83000183105469,64.8955307006836,-0.0152405249171966,65.60350029938184,-0.0007130117841422
25571,25571,79.43000030517578,80.22000122070312,79.08999633789062,80.04000091552734,65.89166259765625,0.015349776575017,65.55405157967321,-0.0026077675387991
25572,25572,79.68000030517578,79.7300033569336,78.52999877929688,78.97000122070312,65.01080322265625,-0.013368297904071,65.43122860839628,-0.0046489498227338
25573,25573,78.62000274658203,79.54000091552734,78.58000183105469,79.19999694824219,65.20012664794922,0.0029121840664627,65.12388961262555,-0.0065739931386874
25574,25574,79.13999938964844,79.63999938964844,78.08000183105469,79.44000244140625,65.397705078125,0.0030303381348109,64.54974820666817,-0.00811706307171
25575,25575,79.1500015258789,79.2300033569336,77.18000030517578,77.44000244140625,63.751220703125,-0.0251764855209075,63.73947340336275,-0.0090541642046043
25576,25576,76.4800033569336,76.5999984741211,74.86000061035156,75.13999938964844,61.8577995300293,-0.029700155576831,62.83840990345734,-0.0092476659709042
25577,25577,75.19000244140625,76.3499984741211,74.93000030517578,75.37999725341797,62.05537796020508,0.0031940746628056,62.02361143114344,-0.0086778169834086
25578,25578,75.48999786376953,76.44000244140625,75.18000030517578,75.20999908447266,61.9154167175293,-0.0022554248685027,61.41430736700352,-0.0074501353900579
25579,25579,77.04000091552734,77.5,73.6500015258789,74.29000091552734,61.1580696105957,-0.0122319633313422,61.04672649962438,-0.005775431225464
25580,25580,74.5999984741211,75.33000183105469,73.43000030517578,73.7300033569336,60.69704055786133,-0.0075383192384885,60.90447989239655,-0.0039280565744038
25581,25581,73.91000366210938,74.19999694824219,73.3499984741211,74.0,60.91931915283203,0.0036620993861935,60.94938765519181,-0.0021922510079407
25582,25582,74.1500015258789,74.19999694824219,73.11000061035156,73.88999938964844,60.82876205444336,-0.0014865087077136,61.127225146524886,-0.0008070282412494
26165,26165,132.1699981689453,133.27999877929688,130.36000061035156,132.89999389648438,115.18374633789062,0.0122631276238787,113.99514483904495,9.452887715524056e-05
26166,26166,133.05999755859375,133.5399932861328,131.0,131.35000610351562,113.84033966064452,-0.0116631618605739,113.9033320700858,0.0009719231813653
26167,26167,130.72999572753906,131.30999755859375,130.00999450683594,130.2899932861328,112.92166137695312,-0.0080698835441808,113.83284050511102,0.0017570348611007
26168,26168,131.0,131.61000061035156,130.17999267578125,131.30999755859375,113.80570220947266,0.0078287976083564,113.92029435061218,0.0023534270409783
26169,26169,131.3699951171875,132.27999877929688,130.4600067138672,131.8800048828125,114.29969024658205,0.0043406264143086,114.22687923873748,0.0026567470439438
26170,26170,132.49000549316406,133.33999633789062,131.8800048828125,133.11000061035156,115.36573791503906,0.0093267765306905,114.69469546884956,0.0025718654036332
26171,26171,132.8000030517578,133.47999572753906,132.66000366210938,132.89999389648438,115.18374633789062,-0.0015775184247723,115.1925331542722,0.0020330688879938
26172,26172,132.25,132.89999389648438,131.88999938964844,132.67999267578125,114.99304962158205,-0.0016555870283049,115.5773134841871,0.0010205413183265
26173,26173,133.3699951171875,134.3300018310547,133.27999877929688,133.6999969482422,115.8770980834961,0.0076878425680793,115.7167344399096,-0.0004312453728724
26174,26174,133.5800018310547,134.05999755859375,133.27999877929688,133.35000610351562,115.5737762451172,-0.0026176167974134,115.49098819029928,-0.0022345387029182
